Frequency, Chain
3066, DUP2 AND
2842, SWAP1 POP JUMPDEST
2841, JUMPDEST JUMPDEST SUICIDE AND
2836, SWAP1 JUMPDEST
2616, DUP2 SLOAD
1765, DUP2 SLOAD POP
1758, POP SWAP1
1535, DUP2 AND SUB EXP
1446, DUP2 POP POP POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
1022, DUP2 SLOAD SHA3 SWAP1
933, POP SWAP1 SWAP2 JUMPDEST
905, JUMPDEST JUMPDEST POP POP POP POP POP SWAP4 CALL DUP9 DUP9 DUP6 DUP2 SUB DUP4 DUP1 MLOAD
808, JUMPDEST JUMPDEST LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
724, POP POP SWAP2 SWAP3 JUMPDEST
470, DUP2 SLOAD POP SWAP1 POP SWAP2
407, POP POP LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
321, JUMPDEST
287, JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
268, JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
240, SSTORE
235, SSTORE SWAP1 OR
225, SSTORE SWAP1 OR MUL TIMESTAMP
198, POP JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
198, JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
196, SWAP1 JUMPDEST AND SUB EXP
185, POP JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
183, SWAP1 POP SWAP1 POP POP POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
182, BLOCKHASH
182, SWAP1 POP POP POP SWAP3 MLOAD MLOAD
180, POP SSTORE SWAP1 OR
180, SSTORE SWAP1 OR AND SWAP2 SWAP1 NOT
179, JUMPDEST POP SSTORE SWAP1 OR EXP
178, POP POP JUMPDEST POP POP JUMPDEST
176, SSTORE SWAP1 OR EXP
176, POP POP JUMPDEST LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
175, POP POP POP POP JUMPDEST
174, JUMPDEST JUMPDEST
166, POP JUMPDEST SSTORE SWAP1 OR DUP3 AND NOT
156, JUMPDEST SUICIDE AND
156, POP POP JUMPDEST JUMPDEST
154, POP SWAP1 SWAP2 POP JUMPDEST
143, POP SSTORE SWAP1 OR DUP3 AND NOT SUB EXP
143, POP POP SWAP2
137, POP POP JUMPDEST
130, POP POP POP SWAP3 SWAP4 JUMPDEST
129, POP SWAP1 SWAP2 JUMPDEST JUMPDEST
128, POP JUMPDEST JUMPDEST
122, DUP2 MUL EXP
120, POP SSTORE SWAP1 OR DUP3 AND NOT
118, POP POP POP POP SWAP4
114, JUMPDEST SSTORE SWAP1 OR
114, POP POP POP JUMPDEST
113, POP SWAP3 SWAP1 SWAP4 SWAP2 POP SWAP2 AND
111, SWAP1 JUMPDEST SLOAD
107, POP JUMPDEST SSTORE SWAP1 OR DUP3 AND NOT SUB EXP
103, POP POP POP POP POP POP POP SWAP7 SWAP8 MLOAD MLOAD
103, POP JUMPDEST SSTORE SWAP1 OR AND NOT MUL
101, POP POP JUMPDEST POP POP POP POP SWAP3 CALL SUB GAS
100, SSTORE SWAP1 OR AND SWAP2 SWAP1 NOT MUL
97, JUMPDEST LOG2 SWAP1 SUB SWAP2 DUP1 MLOAD
96, POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
96, POP POP POP JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
96, JUMPDEST POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
95, POP POP SWAP2 SWAP3 POP LOG1 SWAP1 ADD
94, POP POP POP POP POP
91, JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
90, SSTORE SHA3 SWAP1
89, POP JUMPDEST JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
89, POP POP POP POP SWAP4 SWAP5 POP JUMPDEST SSTORE
87, POP SSTORE SWAP1 OR EXP
85, POP POP SWAP2 SWAP3 MUL
85, JUMPDEST STOP JUMPDEST
85, POP SWAP1 SWAP2 POP POP JUMPDEST
84, SWAP1 AND
83, JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
83, POP POP POP JUMPDEST JUMPDEST
82, JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
81, DUP9 SWAP1 SWAP2 AND DIV SWAP1
80, POP SSTORE
80, POP POP SWAP2 SWAP3 POP POP POP POP POP POP POP LOG1 SWAP1 ADD
77, POP POP POP POP POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 DUP8 SWAP1
77, POP POP POP POP POP POP SWAP6 SWAP7 MLOAD MLOAD
76, POP POP LOG1 SWAP2
75, JUMPDEST SSTORE SWAP1 OR MUL TIMESTAMP
75, DUP2
74, POP JUMPDEST POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
74, DUP2 SLOAD POP POP SWAP2 POP SWAP2
