Instruction, Frequency
PUSH1, 1174774
SWAP1, 521515
POP, 463852
PUSH2, 384585
DUP2, 366783
ADD, 364300
DUP1, 316702
MSTORE, 239673
JUMPDEST, 228357
SWAP2, 193668
DUP3, 190939
AND, 169896
JUMPI, 164151
MLOAD, 158800
SLOAD, 140762
SUB, 133158
DUP4, 124042
JUMP, 122195
ISZERO, 112634
EXP, 102272
MUL, 82654
EQ, 76262
SWAP3, 75413
DIV, 75144
PUSH4, 64725
PUSH20, 58563
DUP5, 56064
SSTORE, 52625
SHA3, 51005
CALLDATALOAD, 48194
DUP6, 34557
NOT, 32749
LT, 31871
SWAP4, 30675
CALLER, 27968
RETURN, 22624
DUP8, 22557
CALL, 22089
SWAP5, 20140
OR, 19705
GT, 19646
DUP7, 18944
PUSH32, 17542
STOP, 16806
DUP9, 14978
GAS, 12555
SWAP6, 11976
SWAP7, 9658
CALLDATASIZE, 9368
CALLDATACOPY, 8702
PUSH8, 7798
CALLVALUE, 7459
DUP11, 6041
PUSH29, 5899
SWAP8, 5756
DUP10, 4780
LOG1, 4774
TIMESTAMP, 4689
SUICIDE, 4610
CODECOPY, 4521
MSIZE, 4282
Missing, 4250
SWAP9, 3829
CALLCODE, 3153
PUSH3, 3149
ADDRESS, 2813
DUP12, 2508
BALANCE, 2303
LOG3, 2103
PUSH9, 2018
PUSH21, 1676
DUP13, 1658
NUMBER, 1626
SWAP10, 1598
MOD, 1493
ORIGIN, 1334
DUP14, 1158
PUSH16, 1107
SWAP11, 1103
LOG2, 1021
SIGNEXTEND, 975
SLT, 902
SGT, 763
PUSH13, 743
DUP15, 693
PUSH25, 516
PUSH17, 512
PUSH22, 487
PUSH7, 455
BYTE, 412
MSTORE8, 409
BLOCKHASH, 402
LOG4, 400
PUSH12, 385
PUSH5, 372
PUSH10, 354
SWAP12, 309
PUSH6, 293
PUSH27, 256
PUSH15, 252
SDIV, 245
PUSH19, 236
PUSH18, 200
LOG0, 182
PUSH26, 163
DUP16, 146
GASLIMIT, 115
SWAP13, 113
XOR, 111
TXGASPRICE, 107
PUSH24, 104
CODESIZE, 102
SMOD, 95
SWAP15, 89
PUSH30, 89
PUSH14, 86
CREATE, 86
SWAP14, 85
PUSH31, 80
DIFFICULTY, 77
EXTCODECOPY, 38
PUSH23, 35
PUSH28, 33
DUP, 33
PUSH, 25
PUSH11, 24
EXTCODESIZE, 21
SWAP16, 19
COINBASE, 13
MULMOD, 5
