Instruction, Frequency
POP, 83492
JUMPDEST, 37056
SWAP1, 30212
DUP2, 16595
AND, 14244
SWAP2, 13245
SLOAD, 7675
SSTORE, 7220
SUB, 6752
MLOAD, 5097
DUP1, 4644
OR, 4480
ADD, 4463
SWAP3, 4379
DUP3, 4119
MUL, 3971
DUP4, 3546
EXP, 3254
SWAP4, 3169
SUICIDE, 3153
NOT, 3028
DUP9, 2676
SHA3, 1805
LOG3, 1731
CALL, 1708
DUP6, 1696
LOG1, 1576
SWAP5, 1148
SWAP6, 921
SWAP7, 611
LOG2, 519
RETURN, 452
DIV, 432
SWAP8, 410
TIMESTAMP, 353
MSTORE, 335
CALLVALUE, 275
DUP5, 243
SWAP9, 191
BLOCKHASH, 185
DUP8, 181
STOP, 157
GAS, 153
BALANCE, 112
CODECOPY, 97
EQ, 86
ADDRESS, 82
CALLER, 79
SWAP10, 77
LT, 67
ISZERO, 64
DUP7, 57
SWAP12, 48
SWAP11, 47
SWAP13, 44
GT, 35
MOD, 35
NUMBER, 34
SWAP14, 34
LOG4, 33
Missing, 30
CALLDATACOPY, 24
LOG0, 20
SGT, 16
SWAP15, 14
DUP10, 12
DUP13, 7
DUP14, 5
GASLIMIT, 4
SIGNEXTEND, 3
TXGASPRICE, 3
XOR, 3
DUP15, 2
SDIV, 2
ORIGIN, 1
DIFFICULTY, 1
DUP11, 1
DUP12, 1
CREATE, 1
CALLDATALOAD, 1
SWAP16, 1
