Contract ID, Instructions, Jumps, Unprocessed Jumps, UJ/I, UJ/J, Total Distance
0xad8d3a5d2d92eb14bb56ca9f380be35b8efe0c04, 330, 15, 0, 0.000000, 0.000000, 15
0x709013617bb52c49003a9c8f3035ef9ec9912b17, 628, 40, 0, 0.000000, 0.000000, 40
0xe6391fff899cfccc80e19b7ba39bbee15393554e, 254, 10, 0, 0.000000, 0.000000, 10
0x7b2d5c63d3671092d3d44671717ea78018164661, 97, 9, 0, 0.000000, 0.000000, 9
0x85cb4fab90bf67e2593891cbe75385eff0067188, 147, 9, 0, 0.000000, 0.000000, 9
0x45109a940501da9c2f32db25fb40c23c5775a62c, 614, 32, 0, 0.000000, 0.000000, 32
0x7aeb94b5db9ee3474f03b974adc40b409ac78f98, 254, 10, 0, 0.000000, 0.000000, 10
0x417705f7e5dba87c3db5ce00295027ae27bcae0f, 29, 2, 0, 0.000000, 0.000000, 2
0x1c523996cb7cb5b0a4a48d8097e45093626b23f0, 330, 15, 0, 0.000000, 0.000000, 15
0x8f41cc0d0af401e9bea4ba12c58697affd826722, 330, 15, 0, 0.000000, 0.000000, 15
0x90ab39213f1d947e2a3b8936ac37dca2556a9ece, 264, 12, 0, 0.000000, 0.000000, 12
0x012a5642306b0deb8d65f281d289998223dfb7c7, 254, 10, 0, 0.000000, 0.000000, 10
0xb49180d443dc4ca6028de0031ac09337891fd8ce, 254, 10, 0, 0.000000, 0.000000, 10
0x305e14e760862d558d50271c353d388d094a6e8f, 330, 15, 0, 0.000000, 0.000000, 15
0x08fa71df368d8ed1efb3822d9c06dd2530c12a14, 254, 10, 0, 0.000000, 0.000000, 10
0x3b4446acd9547d0183811f0e7c31b63706295f52, 254, 10, 0, 0.000000, 0.000000, 10
0x209711382eaeb6c1e021e0fc81acc5afa9b23d25, 511, 6, 0, 0.000000, 0.000000, 6
0x98f47873a6b1558ec558f1ba3bc2546966d7e0ba, 254, 10, 0, 0.000000, 0.000000, 10
0x173926d7ecf7b3508ba7759c2ee536412c53eeec, 254, 10, 0, 0.000000, 0.000000, 10
0x14c1dc4170f3e9c9ee48e1c8dba89b9d5be51752, 264, 12, 0, 0.000000, 0.000000, 12
0x8dd3da3fab45051ed2cd677c0e53c9de0011944c, 1067, 66, 0, 0.000000, 0.000000, 66
0x491756ee26d3ec290f86e06375939c909e8a4575, 153, 9, 0, 0.000000, 0.000000, 9
0x6837afb9e9fc1a908f9ce54756d3dba55a87ea27, 76, 4, 0, 0.000000, 0.000000, 4
0xc250a22436cdfbe47c0b8ca32a5834932964d1cb, 147, 9, 0, 0.000000, 0.000000, 9
0x4113caa93a1b90a0659314052305fbe94d2b3d8b, 264, 12, 0, 0.000000, 0.000000, 12
0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52, 498, 20, 0, 0.000000, 0.000000, 20
0x3a2c6e618b72f2047f5be10570582d41840b8e78, 1181, 44, 0, 0.000000, 0.000000, 44
0xa18d7182d5935578958a07fd7e9d062ddd418761, 59, 5, 0, 0.000000, 0.000000, 5
0x87ad8fed4213f32f311779749b566d561846d9bc, 140, 7, 0, 0.000000, 0.000000, 7
0x02aeac9ca07bc56f37d5ec61b28a3dffd7cff0a3, 939, 44, 0, 0.000000, 0.000000, 44
0x793ae8c1b1a160bfc07bfb0d04f85eab1a71f4f2, 160, 9, 0, 0.000000, 0.000000, 9
0xb72ced50dcd6c8a146a4f009f323151087f86e3b, 621, 36, 0, 0.000000, 0.000000, 36
0x1686eca4501a2d0bff4bd85b64ea0e158b804c49, 1159, 39, 0, 0.000000, 0.000000, 39
0xa1fa1a8e56ccb5d148c428f88ad8f514e3e1e365, 330, 15, 0, 0.000000, 0.000000, 15
0xa02ce4399d1b4a445f9ddb17542266bd629f25de, 1188, 66, 0, 0.000000, 0.000000, 66
0x4fb5acbe16ffdda225cb14c64aa84c7e253b08ae, 113, 7, 0, 0.000000, 0.000000, 7
0xa1a111bc074c9cfa781f0c38e63bd51c91b8af00, 470, 18, 0, 0.000000, 0.000000, 18
0x2272d8d4dec7df90a36f03eff778decc6918f1a9, 1292, 52, 0, 0.000000, 0.000000, 52
0x3cb6797fd58b6a4a6d3107f686f09df04b62f6e4, 163, 8, 0, 0.000000, 0.000000, 8
0xd38c7bfc3cf7457241b62cc9f922f455c286a1b3, 327, 20, 0, 0.000000, 0.000000, 20
0xe9712e9d4635f4c6937e9982a1596c64f0968a4c, 254, 10, 0, 0.000000, 0.000000, 10
0x6c8dda9f172d4601b3c5429321f458b08d5ef84e, 104, 9, 0, 0.000000, 0.000000, 9
0x20d06f9aed8f4cdfb3e717f18321f7a17e28bc73, 264, 12, 0, 0.000000, 0.000000, 12
0x94c81a1dbc5c41a5e9962a2d6da5aa5ff684259f, 559, 24, 0, 0.000000, 0.000000, 24
0x44bc652e977c0a40905ea9d0eb0da1a148358d61, 69, 4, 0, 0.000000, 0.000000, 4
0x05fe1822845381c20abf02ff0621d35a07570472, 980, 52, 0, 0.000000, 0.000000, 52
0x4da64d12aedf38b1aa68404784a86059c7077ef0, 842, 62, 0, 0.000000, 0.000000, 62
0x627a6ebfc21a2dc63efac99a68c8e0d85c25bce8, 29, 1, 0, 0.000000, 0.000000, 1
0xdf595d10e76effabb38fb3ddfaf89a4bd50acf0f, 1201, 81, 0, 0.000000, 0.000000, 81
0x23abee4915c1ba642c285f17cb33a5f0531a77c3, 264, 12, 0, 0.000000, 0.000000, 12
0x1e91bbd6bf9a7cbfd8da173162012512cd32bc56, 330, 15, 0, 0.000000, 0.000000, 15
0xf95011f89fbc78988720a4f21b8c510600a9e996, 292, 11, 0, 0.000000, 0.000000, 11
0xbc0b62bac4707ec60da31da636842f63c488ed18, 292, 11, 0, 0.000000, 0.000000, 11
0xe7ca5a8e75ef17f845c14a85c50e39b0dd30b8b7, 254, 10, 0, 0.000000, 0.000000, 10
0x5fe5b7546d1628f7348b023a0393de1fc825a4fd, 1163, 47, 0, 0.000000, 0.000000, 47
0xb9371963069cee6df7d153a9e6b45fc90cb6743b, 906, 33, 0, 0.000000, 0.000000, 33
0xd79b4c6791784184e2755b2fc1659eaab0f80456, 1298, 91, 0, 0.000000, 0.000000, 91
0x7573aca378b8417623cad233954fde810cad9fb4, 558, 31, 0, 0.000000, 0.000000, 31
0x33e98638ea7f2c2fd83731528fb53802af395d13, 254, 10, 0, 0.000000, 0.000000, 10
0x1ecec47ec9f60c6040bc2241d60fba13ede0e83f, 362, 16, 0, 0.000000, 0.000000, 16
0xc634a6b0375d5554116900d0b40a06c2c022f17e, 890, 66, 0, 0.000000, 0.000000, 66
0xb98b580532f3d6e190a9792aa5efb9a3bd48f9de, 214, 10, 0, 0.000000, 0.000000, 10
0xbb34947d3e4485c851fc7b3bce7ea4148128a6e5, 83, 8, 0, 0.000000, 0.000000, 8
0x9ed1a2bc358c216483b6d52b9c404b766e2c87c0, 980, 52, 0, 0.000000, 0.000000, 52
0xba41af292f5c5edcc019f5ec41ac03752e4eb0e1, 1056, 37, 0, 0.000000, 0.000000, 37
0x432a20d509de59361b86274732e6349d48818341, 341, 14, 0, 0.000000, 0.000000, 14
0x2e99062e3eb5cf5b74ca258b79ad151a1a69eefc, 2025, 73, 0, 0.000000, 0.000000, 73
0x6517102217a362f2506ed0c137c716f629b1b222, 1538, 63, 0, 0.000000, 0.000000, 63
0xb86a36e3e0d2e8132f5798119148edef957e1912, 1201, 81, 0, 0.000000, 0.000000, 81
0x33824f7a78a8357a26758a8bbb71f5aacc164f46, 1188, 66, 0, 0.000000, 0.000000, 66
0x4c5a2d876421bcf8518c34778b652a63d463b56e, 61, 5, 0, 0.000000, 0.000000, 5
0xd5e9b97a4ea7df470b01eff3e35e74b4753b2be9, 1173, 42, 0, 0.000000, 0.000000, 42
0xf66759a7c3ed893e916d27565b3576f52a4fba5d, 186, 10, 0, 0.000000, 0.000000, 10
0xbca021a5b83ef3109acf4858f1d0e36f5ad15306, 1128, 41, 0, 0.000000, 0.000000, 41
0x35e57f2b08596f1946ecd9d31975ec3c2d7e1c1d, 1446, 85, 0, 0.000000, 0.000000, 85
0x263b56fc1e2ccee1c5ae751dccf0a2fd6b400b8c, 330, 15, 0, 0.000000, 0.000000, 15
0xb179a893de8ec62bc2817eafb369412de74bf09d, 29, 1, 0, 0.000000, 0.000000, 1
0x45b9bb86b94aeff2d99632b43332cee84ff4d3ca, 320, 11, 0, 0.000000, 0.000000, 11
0x6e38a457c722c6011b2dfa06d49240e797844d66, 634, 31, 0, 0.000000, 0.000000, 31
0x96d76ae3397b52d9f61215270df65d72358709e3, 2329, 43, 0, 0.000000, 0.000000, 43
0x45f4054e7384d9c4b5be63d3927d9b7d18781fdc, 15, 0, 0, 0.000000, 0.000000, 0
0x29d8438757cb0afed950b484437e6ed849f5cd94, 83, 8, 0, 0.000000, 0.000000, 8
0x0fa647372d8535054f3a9c269f1c5d8299fd0bf6, 330, 15, 0, 0.000000, 0.000000, 15
0xd94badbec21695b7a36abcb979efad0108319d18, 150, 13, 0, 0.000000, 0.000000, 13
0x6516298e1c94769432ef6d5f450579094e8c21fa, 155, 6, 0, 0.000000, 0.000000, 6
0x5eaa4180e1ecc408f65cae32711c794bd04c1267, 551, 15, 0, 0.000000, 0.000000, 15
0x839333261d34dbf8d3bac21e8237252249d38dea, 1128, 41, 0, 0.000000, 0.000000, 41
0x2bb8ac48f518e7ccd502bd1817ccee6c407d20b7, 320, 11, 0, 0.000000, 0.000000, 11
0x82000e228027bbfab26eff81c221024fe4b0690a, 29, 1, 0, 0.000000, 0.000000, 1
0x8bbf81e9a8e936242354047c9905d621e269c7f7, 169, 13, 0, 0.000000, 0.000000, 13
0x35f0729966012509bfc40c495f469d538e531712, 506, 12, 0, 0.000000, 0.000000, 12
0x3983237438eb69d0c7b9aa3a4619f3738105c7f0, 551, 15, 0, 0.000000, 0.000000, 15
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae, 2670, 147, 0, 0.000000, 0.000000, 147
0x5d6f0e293786f1ec9feec3851c03951dc8c6112a, 890, 66, 0, 0.000000, 0.000000, 66
0xb090c8dd5ddd7f505a2a4b66879a8a2b0962a963, 61, 5, 0, 0.000000, 0.000000, 5
0xa73d31450476be898fa94937b7994276639de51c, 488, 14, 0, 0.000000, 0.000000, 14
0x93d38e72c5281e78f6b364eacac6fa907ecba164, 1426, 60, 0, 0.000000, 0.000000, 60
0x412c794424c331d8794edf9aa54b4fdaece5f4fd, 254, 10, 0, 0.000000, 0.000000, 10
0xaa57758209571030173102e53fd07211ce93c397, 950, 51, 0, 0.000000, 0.000000, 51
0x4a94787103a50a04f64a95cdce2c968643d05abd, 254, 10, 0, 0.000000, 0.000000, 10
0xa327075af2a223a1c83a36ada1126afe7430f955, 498, 20, 0, 0.000000, 0.000000, 20
0xb87824547db80f1fb37d0225b99f1a602f8642ad, 96, 9, 0, 0.000000, 0.000000, 9
0xdae5047277a2cc3d0013fc0cf4a12817b9b85c33, 97, 9, 0, 0.000000, 0.000000, 9
0xbafa73d5c2d46b66c299e1bb6d6b9f46b21819f7, 32, 1, 0, 0.000000, 0.000000, 1
0xe37673a8e0aaa536828f0d5b0ddba12fece1115c, 270, 17, 0, 0.000000, 0.000000, 17
0x67de0f2f71e29b8003d957fbcde9c9ae393cbe94, 890, 66, 0, 0.000000, 0.000000, 66
0x28a6216147fcc08e53d062f80394fe52784fa8d9, 1207, 44, 0, 0.000000, 0.000000, 44
0x5b02e5df994497cb6d50237ca83f295e18c4a841, 254, 10, 0, 0.000000, 0.000000, 10
0x93e8f703c29337500d426549633f2be43d63a0fa, 15, 0, 0, 0.000000, 0.000000, 0
0x109c4f2ccc82c4d77bde15f306707320294aea3f, 498, 20, 0, 0.000000, 0.000000, 20
0xd4eae4ae8565f3ecf218191fb267941d98a2c77a, 1052, 44, 0, 0.000000, 0.000000, 44
0x047cdba9627a8686bb24b3a65d87dab7efa53d31, 2352, 46, 0, 0.000000, 0.000000, 46
0x6f37b5018816908ea901d7dd3d4218493fa6e609, 264, 12, 0, 0.000000, 0.000000, 12
0xf3ffaeaf1da13be6e101c78554abcfb1c93a4db8, 330, 15, 0, 0.000000, 0.000000, 15
0xa3483b08c8a0f33eb07aff3a66fbcaf5c9018cdc, 155, 6, 0, 0.000000, 0.000000, 6
0x5ade470457c5effd582d028191b468fa27e1c9e4, 264, 12, 0, 0.000000, 0.000000, 12
0x0013e723f574bafd47cc1542532cdcd98c1c2989, 47, 4, 0, 0.000000, 0.000000, 4
0x59622442b567187157b85d6928a6c56e1e0841ca, 906, 33, 0, 0.000000, 0.000000, 33
0x40f457d7d8430bc6d03609b81cc2e95b7befb01a, 655, 25, 0, 0.000000, 0.000000, 25
0xfcb20ae9a3fa95af55803b8cdab4b0643fb96d3f, 59, 5, 0, 0.000000, 0.000000, 5
0x7320f8461bbc8104c677fec0429cc0d963a5ac40, 327, 20, 0, 0.000000, 0.000000, 20
0xed5868f9ec0651f5a9797fad4716c1269b776730, 330, 15, 0, 0.000000, 0.000000, 15
0xa77436621b16912aeb744a1313a071ba6a25a278, 75, 5, 0, 0.000000, 0.000000, 5
0x7717efe25b65c8c0fcb97a170b086c17b025a1e1, 247, 12, 0, 0.000000, 0.000000, 12
