unique_opcodes,mainlength
32,20
41,1183
26,67
31,20
35,1722
35,1307
27,271
47,2827
34,180
40,4071
32,266
25,177
35,1307
47,2827
34,180
33,578
25,177
37,1303
47,2827
34,180
40,4071
35,728
41,1226
48,2827
33,20
38,728
40,1530
34,180
26,256
36,266
37,511
31,395
31,1480
25,256
45,7618
43,4071
35,1307
40,4071
40,4071
36,266
31,1054
36,266
34,180
36,266
35,1264
30,897
42,3728
46,2827
34,180
26,301
43,1305
41,4071
37,511
45,2827
37,417
34,180
32,20
34,180
37,511
26,835
38,1183
34,180
26,284
37,1183
35,291
31,870
26,67
36,266
35,291
19,78
31,20
36,605
49,2827
43,4071
35,20
31,471
35,291
34,180
31,20
35,735
41,4071
36,266
34,180
30,355
14,28
33,20
38,1663
31,128
40,4071
40,4071
47,2827
35,291
41,4071
34,20
43,2067
40,4071
33,266
36,3813
33,620
34,252
6,4
34,755
34,180
16,38
26,835
33,20
32,3547
37,1303
22,152
39,4180
27,271
46,2827
35,647
32,786
34,180
45,1577
33,20
40,4071
32,786
34,314
32,1474
40,4071
34,180
34,1406
36,266
31,375
36,266
41,3600
33,484
23,142
35,291
48,2827
32,778
33,1317
42,4071
34,180
39,429
43,4071
31,1597
27,131
36,1307
36,266
36,266
42,4071
37,511
40,4071
34,252
33,252
45,2827
41,4071
32,20
36,886
34,180
36,266
32,417
32,4402
34,620
34,180
32,447
40,4071
40,4071
41,4071
36,266
41,4071
37,3926
34,20
35,291
36,1053
33,20
29,986
35,291
19,78
39,20
39,1271
31,20
31,994
39,571
37,20
36,266
33,20
37,751
19,78
37,1152
36,266
34,180
40,4071
40,4071
42,789
36,266
36,1307
34,180
30,107
32,20
31,20
34,180
34,180
35,291
33,20
41,4071
36,266
45,2827
34,180
14,28
44,1577
32,20
38,1183
31,1091
32,778
28,3299
34,180
43,4071
31,20
34,180
30,312
30,137
39,1183
40,4071
36,266
34,1106
31,332
37,6694
26,67
34,180
6,4
42,4703
18,61
14,28
26,125
31,331
32,20
36,266
34,833
37,722
41,4071
36,266
33,20
36,266
36,266
32,20
30,417
34,180
38,3600
33,1060
36,266
36,266
35,291
36,266
30,1563
32,20
36,266
35,20
35,1307
36,266
19,92
34,266
37,277
32,703
36,266
36,266
37,944
26,235
36,266
34,20
34,762
35,1624
32,20
44,4071
35,291
35,20
34,180
44,4071
32,1236
38,1271
35,1303
35,20
46,2827
35,291
32,621
42,4071
46,2827
36,2397
44,4071
32,20
43,4071
32,354
40,6460
35,291
32,809
32,266
35,291
33,20
37,1271
33,1443
34,730
33,529
33,918
32,841
26,115
35,511
44,3938
46,2827
24,208
27,271
11,24
31,20
31,20
34,180
30,750
37,511
41,4071
37,2199
31,20
34,180
37,1365
40,4071
35,1307
27,234
32,965
19,78
34,180
31,20
34,180
36,266
34,2688
36,266
43,4071
37,511
37,20
36,266
34,1307
34,609
32,786
31,20
46,2827
33,20
28,200
41,4071
46,2827
33,693
36,266
36,266
41,4071
28,205
34,20
32,904
36,266
34,180
35,291
35,291
39,506
27,67
41,4071
30,524
52,9616
32,266
32,20
34,180
40,2478
42,1183
34,180
40,4071
23,174
38,1183
31,757
33,252
34,180
40,4071
43,1805
32,252
40,4071
33,555
36,728
36,20
35,1307
16,38
36,266
29,422
40,4071
32,20
36,683
34,180
35,762
31,20
48,2827
34,180
34,180
33,1058
47,2827
41,4071
32,20
27,152
34,180
31,20
33,20
34,180
34,354
37,238
31,520
34,180
48,2827
34,180
42,4071
35,1509
35,400
36,20
34,180
34,180
31,20
31,20
36,266
42,4071
33,1726
41,4071
37,511
35,291
45,2827
33,20
36,994
33,20
34,180
32,595
35,1307
31,20
31,20
34,180
33,798
35,291
38,1039
34,180
31,20
42,4071
42,4071
41,1577
29,369
41,4071
27,271
33,802
34,180
24,171
34,990
38,721
46,2827
42,4071
34,180
31,20
42,4071
41,4071
34,180
35,291
34,180
33,511
45,2827
36,266
36,266
37,20
20,70
35,291
36,266
34,180
38,6202
34,180
42,4071
31,20
41,4071
36,266
34,180
34,180
30,407
36,266
37,277
41,4071
31,20
33,1380
31,332
36,266
33,266
35,291
35,20
37,2549
35,291
23,188
36,266
35,291
24,216
34,180
20,70
21,55
32,792
32,580
30,395
35,644
41,4071
43,4071
34,180
32,20
34,180
40,4071
36,20
46,2827
28,3299
45,2827
41,1183
32,786
30,166
36,1307
40,4071
32,549
35,291
33,20
36,266
36,266
40,2387
29,335
44,4071
37,266
35,20
35,20
29,801
36,20
34,20
36,266
36,266
22,132
42,834
35,291
34,180
31,1009
30,228
36,1112
34,180
35,291
32,20
36,266
36,266
46,2827
40,1183
35,291
36,266
34,1480
34,180
35,1307
41,4071
40,4071
36,266
36,2138
33,1317
34,180
32,20
32,641
31,417
26,835
26,292
33,20
34,180
33,20
21,139
34,180
33,511
36,1564
36,266
33,20
42,4700
34,180
35,1388
36,266
36,266
35,2261
34,20
34,180
33,1380
41,4071
34,180
36,266
36,266
34,640
35,291
41,4071
41,4071
42,4071
38,979
36,266
35,838
43,4071
40,4071
33,20
40,4071
16,38
34,1780
20,46
42,4071
37,277
39,2468
41,4071
32,20
34,180
30,157
27,131
33,511
34,762
32,484
34,180
34,180
35,20
40,1183
14,28
34,1821
42,4071
28,405
41,4071
43,4071
32,1098
34,180
34,180
22,107
32,20
18,128
32,20
26,67
34,180
25,177
36,266
32,219
41,4071
33,1156
34,180
38,266
