contract,paths,time
0,0,17.990733
1,0,0.102662
2,0,18.087819
3,0,0.008530
4,0,0.108671
5,0,1518.579167
6,0,0.445560
7,0,0.223468
8,0,0.033634
9,0,0.115865
10,0,0.112184
11,0,0.104270
12,0,0.094685
13,0,0.106520
14,0,0.091023
15,0,0.094700
16,0,1494.254381
17,0,0.086355
18,0,0.113066
19,0,1549.156750
20,0,0.347055
21,0,1662.942211
22,0,0.100436
23,0,0.083358
24,0,5.115343
25,0,0.286387
26,0,1548.253735
27,0,0.092290
28,0,0.113581
29,0,0.107362
30,0,79.697600
31,0,0.008588
32,0,0.108695
33,0,0.099536
34,0,0.094876
35,0,0.083756
36,0,0.113388
37,0,0.094515
38,0,79.732937
39,0,0.093260
40,0,0.089156
41,0,1528.556444
42,0,1521.121140
43,0,0.082974
44,0,0.090946
45,0,0.092668
46,0,0.149502
47,0,0.102245
48,0,0.086048
49,0,0.773356
50,0,0.086621
51,0,0.107870
52,0,0.040249
53,0,0.099357
54,0,0.092793
55,1,0.215813
56,1,0.233582
57,1,0.145445
58,1,0.209413
59,1,0.215061
60,1,0.081961
61,1,0.209330
62,1,0.097651
63,1,0.093111
64,1,0.213457
65,1,0.215771
66,1,0.081151
67,1,0.173711
68,1,0.081890
69,1,0.221333
70,1,0.320852
71,1,0.210947
72,1,0.086819
73,1,0.229800
74,1,0.299865
75,1,0.086013
76,1,0.220740
77,1,0.219351
78,1,0.088789
79,1,0.225038
80,1,0.218955
81,1,0.216354
82,1,0.086752
83,1,0.218633
84,1,0.213911
85,1,0.209527
86,1,0.209571
87,1,0.212168
88,1,0.214050
89,1,0.223961
90,1,0.210574
91,1,0.212403
92,1,0.210693
93,1,0.217914
94,1,0.209955
95,1,0.306657
96,1,0.077346
97,1,0.100364
98,1,0.209606
99,1,0.305040
100,1,0.096922
101,1,0.089072
102,1,0.002436
103,1,0.096259
104,1,0.210103
105,1,0.217264
106,1,0.213681
107,1,0.083722
108,1,0.208424
109,1,0.089177
110,1,0.215859
111,1,0.215705
112,1,0.215281
113,1,0.212432
114,1,0.237457
115,1,0.002402
116,1,0.210179
117,1,0.089954
118,1,0.087619
119,1,0.210989
120,1,0.095180
121,1,0.206029
122,1,0.212586
123,1,0.223720
124,1,0.217864
125,1,0.214656
126,1,0.213512
127,1,0.094997
128,1,0.003112
129,1,0.204019
130,1,0.122126
131,1,0.210174
132,1,0.096794
133,1,0.215446
134,1,0.082888
135,1,0.210053
136,1,0.214337
137,1,0.092591
138,1,0.217142
139,1,0.220849
140,1,0.080920
141,1,0.101889
142,1,0.211293
143,1,0.211222
144,1,0.080460
145,1,0.100417
146,1,0.212751
147,1,0.078744
148,1,0.211319
149,1,0.212469
150,1,0.219266
151,1,0.377995
152,1,0.220898
153,1,0.216958
154,1,0.002441
155,1,0.216142
156,1,0.093140
157,1,0.210950
158,1,0.307503
159,1,0.218413
160,1,0.219489
161,1,0.210296
162,1,0.212350
163,1,0.003433
164,1,0.214977
165,1,0.223937
166,1,0.109669
167,1,0.091030
168,1,0.100730
169,1,0.087627
170,1,0.214832
171,1,0.219544
172,1,0.215290
173,1,0.211195
174,1,0.213145
175,1,0.218760
176,1,0.218326
177,1,0.211614
178,1,0.218693
179,1,0.094125
180,1,0.213319
181,1,0.222401
182,1,0.089723
183,1,0.224070
184,1,0.215621
185,1,0.230142
186,1,0.216533
187,1,0.214532
188,1,0.221243
189,1,0.211349
190,1,0.093870
191,1,0.002539
192,1,0.221106
193,1,0.209676
194,1,0.085992
195,1,0.212593
196,1,0.220797
197,1,0.229104
198,1,0.078069
199,1,18.851948
200,1,0.221902
201,1,0.081088
202,1,0.213902
203,1,0.230561
204,1,0.219556
205,1,0.218225
206,1,0.095236
207,1,0.215653
208,1,0.215667
209,1,0.209548
210,1,0.217057
211,1,0.102157
212,1,0.214098
213,1,0.211607
214,1,0.210837
215,1,0.221235
216,1,0.084393
217,1,0.212711
218,1,0.209761
219,1,0.219627
220,1,0.139862
221,1,0.087110
222,1,0.214052
223,1,0.002591
224,1,0.083747
225,1,0.227932
226,1,0.233872
227,1,0.213940
228,1,0.223443
229,1,0.362023
230,1,0.097624
231,1,0.220124
232,1,0.215204
233,1,0.086975
234,1,0.209781
235,1,0.089167
236,1,0.213261
237,1,0.415993
238,1,0.219879
239,1,0.227548
240,1,0.084948
241,1,0.099432
242,1,0.219617
243,1,0.088187
244,1,0.097942
245,1,0.213574
246,1,0.214446
247,1,0.211517
248,1,0.004301
249,1,0.082719
250,1,0.209753
251,1,0.219935
252,1,0.104444
253,1,0.220306
254,1,0.103461
255,1,0.215473
256,1,0.206084
257,1,0.211512
258,1,0.085942
259,1,0.211004
260,1,0.089793
261,1,0.211597
262,1,0.213236
263,1,0.210088
264,1,0.084241
265,1,0.219712
266,1,0.083009
267,1,0.086030
268,1,0.219030
269,1,0.218144
270,1,0.221224
271,1,0.226294
272,1,0.228430
273,1,0.207887
274,1,0.210942
275,1,0.209812
276,1,0.214112
277,1,0.217143
278,1,0.218789
279,1,0.213869
280,1,0.218860
281,1,0.087582
282,1,0.097811
283,1,0.216524
284,1,0.214139
285,1,0.227771
286,1,0.221445
287,1,0.096291
288,1,0.086730
289,1,0.353215
290,1,0.209449
291,1,0.082112
292,1,0.219131
293,1,0.083929
294,1,0.301912
295,1,0.085295
296,1,0.225024
297,1,0.217909
298,1,0.086656
299,1,0.215963
300,1,0.221928
301,1,0.209813
302,1,0.157487
303,1,0.210552
304,1,0.098060
305,1,0.090094
