txid worth
0x39d8544a7c2735ec1bcab34352b8f73b38baa13d17f23b252735794a0b0cc7a2 591000000000000000000.000000
0x7ce0981f85d75986c3ff200873e08717b0e15a2d73698caa47eefa769304d9dd 546000000000000000000.000000
0x1d0c19a8a453fb993846a3f0da1f0efc3cab7821e005742a4ee51c1b448d609a 273000000000000000000.000000
0x5a63bb9e6b773ce73dcc2a4b85fb035932e8be2f35d88bcc107c4913dc508d0c 123000000000000000000.000000
0x290f211d29a0c050b242770216ccc24d142b3e321a6a2f919351389516400cd7 123000000000000000000.000000
0x65f48d70643fd4acf887bc2b79b976614f9d04a8be8492c44b48abe7656d95d4 110000000000000000000.000000
0x2fce19c07f986b1e1510a80b01f56a3a40e453903d66ad623c98fca91f7625aa 100000000000000000000.000000
0x12ca23940a3390753d59e7e6c14624baca2cd437df3a549f4e0b491eb8c165cd 100000000000000000000.000000
0xc003bf702b23a80d9cead236e760230e77bb05eddfb693a32ced5bee954cc2fc 100000000000000000000.000000
0xb66c4de3bdf1140a2da669b468238a4b2ded4813e363c216dcba9f4555983ddb 100000000000000000000.000000
0xc438d2a6b4717d690b661dfb1d6f9431a2a5236f5aa88c1b30afc1366d6426c2 100000000000000000000.000000
0xbdda4488314689b643504689e7aa5434d0704b35e82476aca4b79652a3b10403 100000000000000000000.000000
0xd5a9df11448f50ed03b0d0905f085bc301b6733d257aaae9ebd93acb74f0b384 100000000000000000000.000000
0x8253faa75617255edce1f0e8f525e0819d8aeadd205651d24ae2095300ff1e5f 89000000000000000000.000000
0x994bfa3956ac155cdaba9e7f816b68273f39bc6347bd9da719a396b0a5091d6d 80000000000000000000.000000
0xc368b27f35a62aa9b6aa4098f554b75de2541c34e65fa4d07e2749d757bfc970 80000000000000000000.000000
0xc775a8e3d0bf29b7877db9d9241699350a18023ee60b8a24d75297708c541f0f 80000000000000000000.000000
0x94672e0b74622d9c98619e8eb1a86c548a9842ca95cae2f318e3f19d56020fcc 80000000000000000000.000000
0xf3fba98700e38ae185df9dcaa724a6eb4842aa531b18b61e8b8a0014b626f9ce 80000000000000000000.000000
0x1183893031f16661519cb092815c47af8d9238199a93c9c3634ef668325abb2e 80000000000000000000.000000
0xe2e8abdb46539bee10d648732051154ec9369a318cf653b37751872246b411ae 80000000000000000000.000000
0x06e82c6662311e7bec691df7989bde64edbecd5a430fbe6596e16820662758e6 80000000000000000000.000000
0x5c86e83ba6e431682ebf0794006bd0e79b8f9fafe407b87b7992971ea3d088ee 80000000000000000000.000000
0x231d3ba26a2ea587f64eecdcf26d7bb04e11ec360084343adbf48f2de9015dff 80000000000000000000.000000
0x4a9b5e38369fb024cd7d7de083858e26e0d14ed0380498d9aa8da95110f84c6a 80000000000000000000.000000
0x089c4a44242408092f6c2317b037d8e02864775281ae19d76581c2e34c72280c 80000000000000000000.000000
0x6c82681fffe12c1fc4ef89a90c9540256059190e059b6eece2f793b90419cf3d 80000000000000000000.000000
0xe0760f01c209dc75b89ef43cb8f31faf0770466e9aca68781ea668e9504c8407 80000000000000000000.000000
0x15d9d33bc1e71f01348cd8eb440ae0f354faa1ea2f9f2299d202bc023e35e931 80000000000000000000.000000
0x761bdb5704e1e7bc7d9c47f37eba63bfd93f878dcfaed144a42ef8be1f549002 80000000000000000000.000000
0x5e90d4a0377d91db16de38e75268c2f76707532fd282508e03e6db387bbe096a 80000000000000000000.000000
0x555173df0b855bf51a0e401d918842da5c30807bcf2a9bebcad7422e64b6c105 80000000000000000000.000000
0xfdb66593fc7596c41b21b103d6b67941ff0bc317553cc23f617e2c4601ad3787 80000000000000000000.000000
0xaf5846ee4efa5203dd4620d63849c8c39bf6ed15e7bf8cfc765b7f9260379407 80000000000000000000.000000
