Opcode,ncontracts,freq
MLOAD,18482,925853
SSTORE,18815,571414
RETURN,19366,126900
SUB,18828,762444
CODESIZE,9310,11143
STOP,19215,1403549
NUMBER,4298,41644
CALLDATASIZE,14217,86141
DUP,19366,7879183
SLOAD,16455,1013855
SUICIDE,11062,23509
EXP,18816,464622
ISZERO,18613,919482
MUL,17665,350136
DIV,19142,348528
ADDMOD,611,681
LOG,10992,97302
CALLDATALOAD,16776,275569
JUMPI,19293,1158264
SDIV,1833,3563
CREATE,554,895
CALLER,15614,183362
GAS,9213,48948
SGT,697,2935
POP,18992,4101173
TXGASPRICE,2008,7279
PC,461,493
LT,11598,307695
CODECOPY,19366,61099
SWAP,19264,5543087
PUSH,19366,12068363
SMOD,579,793
ORIGIN,5398,10787
JUMPDEST,19309,1924537
GT,13706,180579
XOR,418,593
SIGNEXTEND,1461,4504
MSTORE,19362,1515109
SLT,950,3129
GASLIMIT,805,1471
M,11054,170056
JUMP,19122,1044077
SHA,13498,469107
ADD,18449,2425409
COINBASE,587,754
BYTE,514,1538
BALANCE,6741,17951
EQ,16796,450421
AND,18737,954127
MULMOD,433,459
BLOCKHASH,1155,1769
DIFFICULTY,638,927
TIMESTAMP,7991,26767
CALLDATACOPY,8486,90889
CALLVALUE,11452,47123
MSIZE,1501,14125
CALL,15190,86112
EXTCODECOPY,380,472
ADDRESS,8204,21112
NOT,15716,158350
EXTCODESIZE,480,536
MOD,1055,4402
OR,15589,98467
CALLCODE,3143,7373
