transaction,from,to,gas,gas used,cumulative gas used,transaction value
0x0489a084ef114715e0f6b0e831b15dbbf9a241e4edebf8710420aadefd348487,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x8412ab39fc267f37249a4380f00ca19c8219b124,132442,32442,53442,0 wei
0x0489a084ef114715e0f6b0e831b15dbbf9a241e4edebf8710420aadefd348487.1,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x8412ab39fc267f37249a4380f00ca19c8219b124,132442,32442,53442,0 wei
0x06b3d92d066fe6915c0c24719fb5af42fe31db1256b25cf9131d880fbdd9dbd0,0x6d6d757644f1fc61aa4361365819d66acf017b57,0x72c506f418e1c74d07181dcff034d4b91b463f8e,121000,121000,142000,1 Ether
0x06b3d92d066fe6915c0c24719fb5af42fe31db1256b25cf9131d880fbdd9dbd0.1,0x6d6d757644f1fc61aa4361365819d66acf017b57,0x72c506f418e1c74d07181dcff034d4b91b463f8e,121000,121000,142000,1 Ether
0x07f0304c29cbfc51a6c283621ece5a0ff57b27b768389436f5317b0ff4696139,0xc82a04a0583012d786d10ecf1a863fe82aef5152,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,100000,100000,100000,1 Ether
0x07f0304c29cbfc51a6c283621ece5a0ff57b27b768389436f5317b0ff4696139.1,0xc82a04a0583012d786d10ecf1a863fe82aef5152,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,100000,100000,100000,1 Ether
0x07f0304c29cbfc51a6c283621ece5a0ff57b27b768389436f5317b0ff4696139.2,0xc82a04a0583012d786d10ecf1a863fe82aef5152,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,100000,100000,100000,1 Ether
0x0db06f1c139b7da1ddb0c4c5e6a9dc0a7537297a4823e5c33b3cf184e1a4da65,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x81a42abb359e406a5d630b5ce28676f4832c24e8,930933,30933,30933,0 wei
0x0db06f1c139b7da1ddb0c4c5e6a9dc0a7537297a4823e5c33b3cf184e1a4da65.1,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x81a42abb359e406a5d630b5ce28676f4832c24e8,930933,30933,30933,0 wei
0x117225df1b07f70a8f90a2ac88cbf573cd91449bef3c4c0fc03079c847e903fa,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x0e53ff265c831333018aae8fc6015f0cff23c416,131374,31374,885168,0 wei
0x117225df1b07f70a8f90a2ac88cbf573cd91449bef3c4c0fc03079c847e903fa.1,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x0e53ff265c831333018aae8fc6015f0cff23c416,131374,31374,885168,0 wei
0x12a73a58d83734a801aa2760abf7076952af1e7c7f54432f12dc4fa39b34d1be,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x3fb4b261a0565df91be765e7d857191f23cedf3d,127255,27255,27255,0 wei
